cd C:\mlc\ml\mllll\ML_mini_project\projectPrice,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
1/3/2022,177.939743,178.7902976,173.735915,173.8532267,104487900
1/4/2022,175.6813812,178.8489308,175.1143499,178.5458656,99310400
1/5/2022,171.0082855,176.1408805,170.7345483,175.5934061,94537600
1/6/2022,168.1535645,171.3797695,167.8016145,168.8379074,96904000
1/7/2022,168.3197937,170.2457402,167.2052879,169.0236937,86709100
1/10/2022,168.3393097,168.6423748,164.409205,165.2988582,106765600
1/11/2022,171.1647339,171.2624887,167.0000045,168.4664604,76138300
1/12/2022,171.6046448,173.2177401,170.9105308,172.1814471,74805200
1/13/2022,168.3393097,172.6702342,167.948246,171.8490228,84505800
1/14/2022,169.199646,169.8937599,167.263914,167.5083232,80440800
1/18/2022,166.0028076,168.6815241,165.6215297,167.674559,90956700
1/19/2022,162.5126038,167.2541495,162.2290956,166.1982996,94815000
1/20/2022,160.8311005,165.8854833,160.5084784,163.2458657,91420500
1/21/2022,158.7780151,162.6103501,158.6704745,160.74306,122848900
1/24/2022,158.0057068,158.6705078,151.2404597,156.4414963,162294600
1/25/2022,156.2068634,159.1202179,153.5085902,155.4247507,115798400
1/26/2022,156.1188354,160.7137258,154.2906593,159.8436296,108275300
1/27/2022,155.6594086,160.176088,154.7404271,158.8171728,121954600
1/28/2022,166.5209198,166.5404767,159.159314,162.0042414,179935700
1/31/2022,170.8713684,171.0864497,165.719218,166.3546909,115541600
2/1/2022,170.7052307,170.9300831,168.4566622,170.1186424,86213900
2/2/2022,171.9076996,171.9468134,169.4538359,170.8420788,84914300
2/3/2022,169.0334473,172.2987665,168.2708915,170.5781157,89418100
2/4/2022,168.749588,170.423484,167.075692,168.0545747,82465400
2/7/2022,168.0349731,170.2766075,167.33996,169.2096292,77251200
2/8/2022,171.1380615,171.6470847,167.8098514,168.1035192,74829200
2/9/2022,172.5574341,172.9196159,171.2065712,172.3322953,71285000
2/10/2022,168.48526,171.774306,167.9273047,170.4626069,90865900
2/11/2022,165.0788116,169.4250541,164.4914759,168.6908919,98670700
2/14/2022,165.3137207,165.9989356,163.0427056,163.8355982,86185500
2/15/2022,169.141098,169.2977228,166.6547431,167.3595397,62527400
2/16/2022,168.9062042,169.6795149,166.4589976,168.2209894,61177400
2/17/2022,165.3137207,168.2797342,164.9123752,167.4183126,69589300
2/18/2022,163.7670288,166.9385982,162.6804687,166.2338166,82772700
2/22/2022,160.8500366,163.1699842,158.7258477,161.4960879,91162800
2/23/2022,156.6897583,162.6413519,156.3765087,162.0442328,90009200
2/24/2022,159.3033752,159.4110529,148.7901697,149.3579235,141147500
2/25/2022,161.3688049,161.6330925,157.4728414,160.3801239,91974200
2/28/2022,161.6330719,161.9267396,158.9998756,159.6165764,95056600
3/1/2022,159.7536469,163.0818569,158.5496254,161.2219708,83474400
3/2/2022,163.0427094,163.8258185,159.508942,160.9185356,79724800
3/3/2022,162.7196655,165.3430789,162.0540325,164.9123681,76678400
3/4/2022,159.7242889,162.0540346,158.6768922,161.0164213,83737200
3/7/2022,155.9359894,161.5351986,155.6814704,159.91025,96418800
3/8/2022,154.1152954,159.4404197,152.5099284,155.4661583,131148300
3/9/2022,159.5089264,159.959219,156.0436883,158.0699677,91454900
3/10/2022,155.1724701,157.0029757,152.6861,156.8169857,105342000
3/11/2022,151.4625092,155.9164282,151.2373703,155.5738133,96970100
3/14/2022,147.43927,150.8653586,146.9302619,148.2517442,108732100
3/15/2022,151.8148651,152.2847394,147.2043375,147.7133455,92964300
3/16/2022,156.2198639,156.6212093,151.1982065,153.7335088,102300200
3/17/2022,157.2281342,157.6001144,154.3012844,155.2605853,75615400
3/18/2022,160.5171814,161.0066227,156.3862952,157.1204572,123511700
3/21/2022,161.8876343,162.8371517,159.567672,160.0571134,95811400
3/22/2022,165.2549744,165.842295,161.4275397,162.0148603,81532000
3/23/2022,166.6156311,168.9943089,164.1096788,164.4425103,98062700
3/24/2022,170.3940887,170.4626028,166.6156016,167.4476428,90131400
3/25/2022,171.030426,171.5785981,169.1020255,170.208168,80546200
3/28/2022,171.8918152,172.0190598,168.3678313,168.5342396,90371900
3/29/2022,175.1808624,175.2297946,172.6161795,172.9587944,100589400
3/30/2022,174.0160217,175.8171627,172.9686098,174.7795492,92633200
3/31/2022,170.9227142,174.2704914,170.7171423,174.0845013,103049300
4/1/2022,170.6290436,171.1870139,168.3090963,170.3549576,78751300
4/4/2022,174.6718445,174.7207916,170.7563134,170.8835729,76468400
4/5/2022,171.3631439,174.5347282,170.7366598,173.7516193,73401800
4/6/2022,168.201416,169.9634079,166.5373184,168.7202227,89058800
4/7/2022,168.5048676,169.6991056,166.2632327,167.5455667,77594700
4/8/2022,166.4981689,168.1524832,165.6269639,168.1524832,76575500
4/11/2022,162.2497711,165.4605045,162.0050505,165.1472698,72246700
4/12/2022,164.1195068,166.2828296,163.1210421,164.4719053,79265200
4/13/2022,166.8016052,167.4280896,163.2482712,163.8551737,70618900
4/14/2022,161.79953,167.6532599,161.5548093,167.0169771,75329400
4/18/2022,161.5841522,163.0818414,160.1158284,160.4584283,69023900
4/19/2022,163.8649292,164.276073,160.4486387,161.5351989,67723800
4/20/2022,163.6985321,165.3136973,162.5924049,165.1962213,67929800
4/21/2022,162.9056549,167.907746,162.4064301,165.3430782,87227800
4/22/2022,158.3734283,164.3250371,158.0895589,162.9448238,84882400
4/25/2022,159.4404602,159.7243297,155.1137993,157.7176166,96046400
4/26/2022,153.4888153,158.9118191,153.4105029,158.8237232,95623200
4/27/2022,153.2636719,156.4156604,152.0987991,152.6176057,88063200
4/28/2022,160.1843567,161.0457782,155.5738128,155.8870624,130216800
4/29/2022,154.3208466,162.6902964,153.9292995,158.4223673,131747600
5/2/2022,154.6243134,154.8886009,150.0333512,153.40071,123055300
5/3/2022,156.1121979,157.3162343,153.0189401,154.8102822,88966500
5/4/2022,162.5141296,162.9644074,155.8968722,156.2982178,108256500
5/5/2022,153.4594421,160.6150721,151.6778685,160.3899333,130525300
5/6/2022,154.1848755,156.3023723,151.1458746,152.9398637,116124600
5/9/2022,149.0675964,152.7634105,148.5088213,151.8811127,131577900
5/10/2022,151.4693909,153.6555174,149.9204819,152.4595246,115366700
5/11/2022,143.6170044,152.390873,142.9405806,150.4792503,142689800
5/12/2022,139.7545471,143.3229146,136.0685459,139.9604211,182602000
5/13/2022,144.2150269,145.1855501,140.2937427,141.7446137,113990900
5/16/2022,142.6758881,144.6169341,141.3426511,142.6857008,86643800
5/17/2022,146.3030853,146.8226542,143.7934514,145.9305586,78336300
5/18/2022,138.0487823,144.4600738,137.146874,143.9601156,109742900
5/19/2022,134.64711,138.8722916,133.9118692,137.1273212,136095600
5/20/2022,134.8823395,137.9311379,130.0003459,136.3528207,137426100
5/23/2022,140.2937317,140.4407738,134.9411727,135.0784171,117726300
5/24/2022,137.5978699,139.1761874,134.6274981,138.0390114,104132700
5/25/2022,137.7546997,138.9996965,135.6175923,135.7058176,92482700
5/26/2022,140.9505157,141.499493,134.4411866,134.6862668,90601500
5/27/2022,146.6952362,146.7344425,142.4014254,142.5288719,90978500
5/31/2022,145.9109497,147.6951408,143.950308,146.1364343,103718400
6/1/2022,145.7835083,148.753879,144.7737641,146.9500775,74286600
6/2/2022,148.2343445,148.2931613,143.9699422,144.9208547,72348100
6/3/2022,142.5190277,145.0580547,141.6171345,144.0091044,88570300
6/6/2022,143.2640839,145.6462712,142.0484807,144.1365688,71598400
6/7/2022,145.7835083,146.0677947,141.264229,141.5093091,67808200
6/8/2022,145.0483093,146.9207112,144.5581488,145.6561036,53950200
6/9/2022,139.8329468,145.0384474,139.7251109,144.1855732,69473000
6/10/2022,134.431427,137.9899822,134.3627974,137.5194322,91437900
6/13/2022,129.2846985,132.5393554,128.853355,130.2552064,122207100
6/14/2022,130.1473694,131.2551366,128.8925601,130.5100982,84784300
6/15/2022,132.7648773,134.6372942,129.5592381,131.6473119,91533000
6/16/2022,127.5005493,129.7846991,126.5006177,129.480802,108123900
6/17/2022,128.9710083,130.4611002,127.2554468,127.5103398,134520300
6/21/2022,133.1961975,134.3627818,130.6963912,130.7944143,81000500
6/22/2022,132.6864624,135.0490248,131.2747977,132.13747,73409200
6/23/2022,135.5489655,135.8626603,132.9609191,134.1275032,72433800
6/24/2022,138.8722534,139.1173336,137.0194476,137.1468792,89116800
6/27/2022,138.8722534,140.6662423,138.1958296,139.8917805,70207900
6/28/2022,134.73526,140.5975728,134.6176263,139.3329658,67083400
6/29/2022,136.4900818,137.9017463,133.9804625,134.7549245,66242400
6/30/2022,134.0294495,135.6469727,131.1375063,134.5490182,98964500
7/1/2022,136.1959839,136.3038198,132.9903451,133.3628569,71051600
7/5/2022,138.7742004,138.8232195,134.2353107,135.0587914,73353800
7/6/2022,140.1074524,141.2838344,138.3036656,138.5683565,74064300
7/7/2022,143.4699707,143.6660319,140.4603783,140.4701762,66253700
7/8/2022,144.1463623,144.6463355,142.1465145,142.4013925,64547800
7/11/2022,142.0190582,143.7542301,140.9505122,142.8033178,63141600
7/12/2022,142.989563,145.5285897,142.1955057,142.8915249,77588800
7/13/2022,142.6269226,143.5680225,139.3232303,140.1761199,71185600
7/14/2022,145.5482483,146.0187981,140.4309719,141.24464,78140700
7/15/2022,147.2147675,147.8911912,145.2835344,146.832443,76259900
7/18/2022,144.1757965,148.5872404,143.8130676,147.7735723,81420900
7/19/2022,148.0284576,148.2539273,144.0189487,145.0090674,82982400
7/20/2022,150.0283051,150.694931,147.41085,148.1460907,64823400
